X,Y,temperatura
-2142900.198,16770871.79,-26
-2087240.452,16770871.79,-25.5
-2031580.707,16770871.79,-25.1
-1975920.962,16770871.79,-25.1
-1920261.216,16770871.79,-25.1
-1864601.471,16770871.79,-25.1
-1808941.725,16770871.79,-25
-1753281.98,16770871.79,-24.2
-1697622.235,16770871.79,-24.3
-1641962.489,16770871.79,-25
-1586302.744,16770871.79,-25.1
-1530642.998,16770871.79,-25.1
-1474983.253,16770871.79,-25.1
-1419323.508,16770871.79,-25.1
-1363663.762,16770871.79,-25.1
6428700.593,16770871.79,-22.4
6484360.339,16770871.79,-22.3
6540020.084,16770871.79,-22.2
6595679.83,16770871.79,-22.5
6929638.302,16770871.79,-22.5
6985298.047,16770871.79,-22.4
7040957.793,16770871.79,-22.4
7096617.538,16770871.79,-22.5
-10491862.01,16394199.26,-37.2
-10436202.26,16394199.26,-37.2
-10380542.52,16394199.26,-37.3
-10324882.77,16394199.26,-37.3
-10269223.03,16394199.26,-37.3
-10213563.28,16394199.26,-37.3
-10102243.79,16394199.26,-37.2
-10046584.04,16394199.26,-37.2
-9990924.299,16394199.26,-37.3
-9935264.553,16394199.26,-37.5
-9879604.808,16394199.26,-37.5
-9823945.063,16394199.26,-37.6
-9768285.317,16394199.26,-35.4
-9712625.572,16394199.26,-34.7
-9656965.826,16394199.26,-34.5
-9601306.081,16394199.26,-34.4
-9545646.336,16394199.26,-34.4
-9489986.59,16394199.26,-34.1
-9434326.845,16394199.26,-33.6
-9378667.099,16394199.26,-38.4
-9323007.354,16394199.26,-38.8
-9267347.609,16394199.26,-39
-9211687.863,16394199.26,-39.2
-9156028.118,16394199.26,-39.1
-9100368.372,16394199.26,-39.2
-9044708.627,16394199.26,-38.9
-8989048.882,16394199.26,-38.7
-8933389.136,16394199.26,-38.3
-8877729.391,16394199.26,-37.8
-8822069.645,16394199.26,-37.1
-8766409.9,16394199.26,-33.2
-8710750.155,16394199.26,-36.9
-8655090.409,16394199.26,-36.7
-8599430.664,16394199.26,-36.7
-8543770.918,16394199.26,-36.7
-8488111.173,16394199.26,-36.5
-8432451.428,16394199.26,-36.3
-8376791.682,16394199.26,-36.4
-8321131.937,16394199.26,-36.3
-8265472.191,16394199.26,-36.2
-8209812.446,16394199.26,-36.1
-8154152.701,16394199.26,-36
-8098492.955,16394199.26,-35.8
-8042833.21,16394199.26,-32.5
-7987173.464,16394199.26,-33
-7931513.719,16394199.26,-33.4
-7875853.974,16394199.26,-33.6
-7820194.228,16394199.26,-33.6
-7764534.483,16394199.26,-33.5
-7708874.737,16394199.26,-33.1
-7653214.992,16394199.26,-33.4
-7597555.247,16394199.26,-33.6
-7541895.501,16394199.26,-33.4
-7486235.756,16394199.26,-33.4
-7430576.01,16394199.26,-35.4
-7374916.265,16394199.26,-35.6
-7319256.52,16394199.26,-35.4
-7263596.774,16394199.26,-35.2
-7207937.029,16394199.26,-34.7
-7152277.283,16394199.26,-34.7
-7096617.538,16394199.26,-34.7
-7040957.793,16394199.26,-35.5
-6985298.047,16394199.26,-35.3
-6929638.302,16394199.26,-33.5
-6873978.556,16394199.26,-34.5
-6818318.811,16394199.26,-34.4
-6762659.066,16394199.26,-33.5
-6706999.32,16394199.26,-33.5
-6651339.575,16394199.26,-33.5
-6595679.83,16394199.26,-33.5
-6540020.084,16394199.26,-33.7
-6484360.339,16394199.26,-33.9
-6428700.593,16394199.26,-33.9
-6373040.848,16394199.26,-33.9
-6317381.103,16394199.26,-33.9
-6261721.357,16394199.26,-34
-6206061.612,16394199.26,-34.2
-6150401.866,16394199.26,-34.1
-6094742.121,16394199.26,-34
-6039082.376,16394199.26,-34
-5983422.63,16394199.26,-34
-5927762.885,16394199.26,-34.2
-5872103.139,16394199.26,-34.2
-5816443.394,16394199.26,-34.3
-5760783.649,16394199.26,-34.2
-5705123.903,16394199.26,-34.3
-5649464.158,16394199.26,-34.3
-5593804.412,16394199.26,-34.2
-5538144.667,16394199.26,-34.2
-5482484.922,16394199.26,-34.3
-5426825.176,16394199.26,-34.4
-5371165.431,16394199.26,-34.5
-5315505.685,16394199.26,-34.5
-5259845.94,16394199.26,-34.4
-5204186.195,16394199.26,-34.5
-5148526.449,16394199.26,-34.5
-5092866.704,16394199.26,-34.6
-5037206.958,16394199.26,-34.7
-4981547.213,16394199.26,-34.6
-4925887.468,16394199.26,-34.6
-4870227.722,16394199.26,-34.7
-4814567.977,16394199.26,-34.2
-4758908.231,16394199.26,-34.3
-4703248.486,16394199.26,-34.4
-4647588.741,16394199.26,-34.6
-4591928.995,16394199.26,-34.7
-4536269.25,16394199.26,-34.8
-4480609.504,16394199.26,-34.8
-4424949.759,16394199.26,-34.8
-4369290.014,16394199.26,-34.7
-4313630.268,16394199.26,-34.6
-4257970.523,16394199.26,-34.4
-4202310.777,16394199.26,-34.4
